question,volume,end_date,surprise_score,late_move_ratio,price_volatility,max_single_move,final_price,starting_price,total_price_move,price_momentum_6h,price_momentum_12h,anomaly_score,suspicion_score
"US strikes Iran by January 14, 2026?",13619741.635223,2026-01-14T00:00:00Z,0.15,0.20000000000000023,0.009695359714832655,0.03,0.125,0.15,0.024999999999999994,-0.024999999999999994,-0.024999999999999994,1,-0.11625624597043666
"US strikes Iran by February 28, 2026?",89652867.363489,2026-01-31T00:00:00Z,0.515,0.16666666666666666,0.011060760621761732,0.040000000000000036,0.545,0.485,0.06000000000000005,-0.04999999999999993,-0.010000000000000009,1,-0.06868399802032177
"US strikes Iran by February 13, 2026?",15146244.148657,2026-01-31T00:00:00Z,0.345,0.05263157894736845,0.01069029844113461,0.04500000000000004,0.44,0.345,0.09500000000000003,0.0050000000000000044,-0.010000000000000009,1,-0.14325115815218564
US government shutdown Saturday?,157296576.448084,2026-01-31T00:00:00Z,0.385,0.040000000000000036,0.04843522507033805,0.23999999999999994,0.865,0.615,0.25,-0.030000000000000027,0.18499999999999994,1,-0.0
Will Karol Nawrocki be the next President of Poland?,31735999.949038,2025-05-18T12:00:00Z,0.265,0.0,0.006049815833239551,0.025000000000000022,0.255,0.265,0.010000000000000009,-0.020000000000000018,-0.020000000000000018,1,-0.15149589737514696
Will Rafał Trzaskowski be the next President of Poland?,40863065.298881,2025-05-18T12:00:00Z,0.30500000000000005,0.0,0.004996603645028676,0.020000000000000018,0.74,0.695,0.04500000000000004,0.03500000000000003,0.025000000000000022,1,-0.1362706295125896
Will Pierre Poilievre be the next Canadian Prime Minister?,67376035.838465,2025-04-28T12:00:00Z,0.2195,0.0,0.0034017277851038415,0.015499999999999986,0.2245,0.2195,0.0050000000000000044,-0.004500000000000004,-0.0005000000000000004,1,-0.13875442943729205
Will Mark Carney be the next Canadian Prime Minister?,36416000.185007,2025-04-28T12:00:00Z,0.22050000000000003,0.0,0.0028576852295139816,0.013000000000000012,0.7765,0.7795,0.0030000000000000027,0.0044999999999999485,0.0010000000000000009,1,-0.14849431439457095
Will the next Prime Minister of Hungary be Viktor Orbán?,25456113.707224935,2026-04-12T00:00:00Z,0.305,0.5,0.004985185152621435,0.010000000000000009,0.285,0.305,0.020000000000000018,-0.010000000000000009,-0.010000000000000009,1,-0.12744457538620318
Will the next Prime Minister of Hungary be Péter Magyar?,24555476.477281053,2026-04-12T00:00:00Z,0.30500000000000005,1.0,0.004382281320814535,0.010000000000000009,0.705,0.695,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,1,-0.07173795207195371
Iran x Israel/US conflict ends by April 15?,17450416.216830038,2026-04-15T00:00:00Z,0.5575,0.013377926421404692,0.048874996737825464,0.15200000000000002,0.7415,0.4425,0.29900000000000004,0.040000000000000036,0.19200000000000006,1,-0.07536418535644634
Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,17826731.742495,2025-06-24T12:00:00Z,0.745,0.06896551724137938,0.04488050630378629,0.29000000000000004,0.455,0.745,0.29,0.0,-0.09500000000000003,1,-0.07306034709671522
Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,17848349.233334,2025-06-24T12:00:00Z,0.7515000000000001,0.05772495755517831,0.04297631918702023,0.2859999999999999,0.543,0.2485,0.29450000000000004,-0.0040000000000000036,0.10400000000000004,1,-0.06276902749133323
Maduro out in 2025?,34641400.627049,2025-12-31T12:00:00Z,0.0075,0.0,0.0006669118305811693,0.0025000000000000005,0.0015,0.0075,0.006,-0.0035,-0.0025,1,-0.0983318248618617
Will Trump visit China by March 31?,10369639.104046939,2025-10-31T00:00:00Z,0.61,0.0,0.062124153854663675,0.415,0.12,0.61,0.49,0.0,-0.024999999999999994,1,-0.02530042619808015
"Will Melania say ""Career"" during AI talk on Friday?",31097575.061839,2026-01-16T00:00:00Z,0.5,0.13793103448275873,0.05003998401278722,0.13,0.355,0.5,0.14500000000000002,-0.14500000000000002,-0.14500000000000002,1,-0.03877604544153784
Will Trump talk to Xi Jinping in March?,12358578.449661002,2026-03-31T00:00:00Z,0.37,0.0056980056980057035,0.13444748689098632,0.6815,0.019,0.37,0.351,-0.7255,-0.872,-1,0.16699732894044628
Lord Miles completes 40-day water fast in the desert?,14296822.328016,2025-09-30T00:00:00Z,0.225,0.01830663615560641,0.02176999861061486,0.13,0.0065,0.225,0.2185,-0.0585,-0.0585,1,-0.10153721837060414
Government shutdown on Saturday?,13550398.086217,2026-02-14T00:00:00Z,0.83,0.007942238267148023,0.08310110587771193,0.5715,0.1375,0.83,0.6924999999999999,-0.10249999999999998,-0.07899999999999999,-1,0.05967092955432096
US government shutdown by October 1?,13491651.789377,2025-10-01T00:00:00Z,0.385,0.0,0.027566537472630978,0.135,0.925,0.615,0.31000000000000005,0.09000000000000008,0.14,1,-0.08082306145590812
Will South Korea presidential election winner get over 50% of votes?,13094030.56774,2025-06-03T12:00:00Z,0.345,0.0,0.01794312224877278,0.08000000000000007,0.655,0.655,0.0,0.15000000000000002,0.11499999999999999,1,-0.07050770498524683
