question,volume,suspicion_score,surprise_score,late_move_ratio,price_volatility,max_single_move,total_price_move,price_momentum_6h,price_momentum_12h,new_wallet_ratio,new_wallet_ratio_6h,burst_score,directional_consensus,order_flow_imbalance,wallet_concentration,wallet_age_median_days,cross_market_wallet_flag,label,is_labeled_only,label_weight,is_confirmed,is_positive,pu_prob,iso_score,ocsvm_score,insider_trading_prob,end_date
"US strikes Iran by January 14, 2026?",13619741.635223,-0.10257095161666785,0.15,0.20000000000000023,0.009695359714832655,0.03,0.024999999999999994,-0.024999999999999994,-0.024999999999999994,1.0,0.6711164852763938,0.1810344827586206,0.8419959264627516,0.683918093525321,0.8889245523947196,368.5,14.0,,False,0.0,False,False,0.008650751616354015,0.6576599154233173,0.031641514837919035,0.045699362451015184,2026-01-14T00:00:00Z
"US strikes Iran by January 15, 2026?",7975001.728113,-0.019444952423810946,0.765,0.08928571428571436,0.06088148779025983,0.24000000000000005,0.28,0.30000000000000004,0.28,0.570135996410906,0.4126057306478468,0.1406635837112198,0.6402326991258589,0.24150933287302118,0.9137231957550747,191.5,13.0,,False,0.0,False,False,0.02442805687588925,0.5435512216253094,0.04055064774475679,0.05360873328713377,2026-01-15T00:00:00Z
"US strikes Iran by January 17, 2026?",3823998.430446,-0.11330603565607711,0.47,0.0034285714285714314,0.02211783231040878,0.09999999999999998,0.4375,-0.003499999999999996,0.0,0.08087305580395458,0.025634593317361152,0.0603966663150121,0.7769056484399013,0.6121648479537791,0.91221574048613,192.0,13.0,,False,0.0,False,False,0.035651815382394585,0.14064305760571777,0.5120711654034275,0.13618524749776734,2026-01-17T00:00:00Z
"US strikes Iran by February 28, 2026?",89652867.363489,0.0014033199341483282,0.515,0.16666666666666666,0.011060760621761732,0.040000000000000036,0.06000000000000005,-0.04999999999999993,-0.010000000000000009,0.014887003384781763,0.004146120747416327,0.0225852593540615,0.550770293020824,0.08172107975265173,0.9216365473344328,201.0,14.0,,False,1.0,True,True,0.9508682155462939,0.1254037075800175,0.6692772465072995,0.8532767963401812,2026-01-31T00:00:00Z
"US strikes Iran by February 1, 2026?",6629658.109989,-0.13728474621603526,0.225,0.08333333333333333,0.010767302918195741,0.044999999999999984,0.18,-0.05,-0.05,0.2069508777523837,0.07646037426901495,0.0743680547075345,0.8552943545722047,0.7100150201263685,0.9337084084152703,198.0,15.0,,False,0.0,False,False,0.008548155950035646,0.11318439529379616,0.5899160943732813,0.13005355560187282,2026-02-01T00:00:00Z
"US strikes Iran by February 2, 2026?",4246232.054818,-0.1364815561773413,0.18,0.012158054711246213,0.008378968461354327,0.030000000000000013,0.16449999999999998,-0.0075,-0.0115,0.23412228347921502,0.07572301794603672,0.1267928286852589,0.9022870952142262,0.8218397419751072,0.9407241785688982,151.5,16.0,,False,0.0,False,False,0.0359744987356267,0.18794583921833696,0.40316894860031577,0.11701195573270004,2026-02-02T00:00:00Z
"US strikes Iran by February 6, 2026?",9750255.569183,-0.14009462464553646,0.255,0.0,0.01353114543510179,0.05499999999999999,0.010000000000000009,0.010000000000000009,-0.044999999999999984,0.04292573440596657,0.015297686727226588,0.0778263244128891,0.6787985005402343,0.35759700108046827,0.9168914617689115,169.0,14.0,,False,0.0,False,False,0.010068689285738815,0.06734105922342984,0.6727085420393184,0.1454602783333393,2026-01-31T00:00:00Z
"US strikes Iran by February 13, 2026?",15146244.148657,-0.12876948503659302,0.345,0.05263157894736845,0.01069029844113461,0.04500000000000004,0.09500000000000003,0.0050000000000000044,-0.010000000000000009,0.07595026142770615,0.055131843673151756,0.0390490104927613,0.6140451160336793,0.2469283253399867,0.907540623426655,150.0,14.0,,False,0.0,False,False,0.11033563711101593,0.07500522297270218,0.6805809351166778,0.22261817600523265,2026-01-31T00:00:00Z
"US x Iran ceasefire extended by April 21, 2026?",5811146.908703924,-0.027935984496407607,0.645,0.43859649122807015,0.0867356727251073,0.32499999999999996,0.28500000000000003,-0.025000000000000022,-0.29500000000000004,0.07022106999698546,0.012642163204852628,0.0544039666689621,0.6662118541340778,0.32110256184814834,0.9121070292602915,380.0,14.0,,False,0.0,False,False,0.005381750235797522,0.28610041358746324,0.23353064514414348,0.06504746238505,2026-04-21T00:00:00Z
US government shutdown Saturday?,157296576.448084,0.07593391630142143,0.385,0.040000000000000036,0.04843522507033805,0.23999999999999994,0.25,-0.030000000000000027,0.18499999999999994,0.023122544260420073,0.009736219075127036,0.0290191024404589,0.6822189548094711,0.4461019908613551,0.9665348244598186,376.5,16.0,,False,0.0,False,False,0.019173898970638138,0.10619489739273494,0.5672037902361466,0.13313092714484467,2026-01-31T00:00:00Z
